ITEM_CODE,ACTUAL_UNIT_PRICE,UNIT_PRICE_EST,ABS_PCT_ERR,ALTERNATE_USED,CONTRACT,DESCRIPTION,UNIT,QUANTITY,ACTUAL_TOTAL
105-06845,105.0,13000.0,122.80952380952381,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6845.0
109-08359,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8359.0
109-08360,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8360.0
109-08441,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8441.0
109-08443,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8443.0
109-08444,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8444.0
109-11362,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,11362.0
110-01001,110.0,32000.0,289.90909090909093,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,1001.0
201-52370,201.0,17000.0,83.57711442786069,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,52370.0
202-02240,202.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,2240.0
202-51328,202.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,51328.0
202-62420,202.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,62420.0
203-02000,203.0,70.0,0.6551724137931034,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,2000.0
203-08607,203.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8607.0
205-12108,205.0,1.0,0.9951219512195122,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12108.0
205-12616,205.0,8000.0,38.02439024390244,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12616.0
206-51235,206.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,51235.0
207-09935,207.0,52.0,0.748792270531401,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,9935.0
211-06467,211.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6467.0
214-12239,214.0,7.0,0.9672897196261683,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12239.0
302-06464,302.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6464.0
303-01180,303.0,100.0,0.66996699669967,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,1180.0
502-06329,502.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6329.0
503-03489,503.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,3489.0
503-05240,503.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,5240.0
503-12476,503.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12476.0
503-12478,503.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12478.0
503-12479,503.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12479.0
601-02241,601.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,2241.0
601-12281,601.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12281.0
601-12292,601.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12292.0
601-94689,601.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,94689.0
602-06729,602.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6729.0
609-06259,609.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6259.0
616-05688,616.0,110.0,0.8214285714285714,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,5688.0
616-05689,616.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,5689.0
616-06405,616.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6405.0
616-12246,616.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12246.0
621-01004,621.0,520.0,0.16264090177133655,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,1004.0
621-06560,621.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6560.0
621-06567,621.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6567.0
621-06574,621.0,55.0,0.9114331723027376,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6574.0
621-09815,621.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,9815.0
621-12612,621.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12612.0
628-09403,628.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,9403.0
628-11976,628.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,11976.0
702-51863,702.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,51863.0
703-06029,703.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6029.0
703-97936,703.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,97936.0
704-51002,704.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,51002.0
706-11600,706.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,11600.0
706-11620,706.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,11620.0
709-51821,709.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,51821.0
713-04331,713.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,4331.0
718-12307,718.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12307.0
722-01066,722.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,1066.0
722-12380,722.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12380.0
722-12464,722.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12464.0
722-12732,722.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12732.0
722-51401,722.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,51401.0
801-03291,801.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,3291.0
801-06209,801.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6209.0
801-06218,801.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6218.0
801-06640,801.0,210.0,0.7378277153558053,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6640.0
801-06645,801.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6645.0
801-06775,801.0,40000.0,48.93757802746567,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6775.0
801-07024,801.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,7024.0
801-07118,801.0,16.0,0.9800249687890137,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,7118.0
801-08508,801.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8508.0
801-12081,801.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12081.0
801-12482,801.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12482.0
801-12883,801.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12883.0
802-91122,802.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,91122.0
808-06716,808.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6716.0
808-10049,808.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,10049.0
808-10057,808.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,10057.0
808-12032,808.0,2.0,0.9975247524752475,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12032.0
808-12841,808.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12841.0
808-75996,808.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,75996.0
722-51842,722.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,51842.0
722-01061,722.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,1061.0
105-06845,105.0,13000.0,122.80952380952381,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6845.0
109-08359,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8359.0
109-08360,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8360.0
109-08443,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8443.0
109-08444,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8444.0
109-11362,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,11362.0
110-01001,110.0,32000.0,289.90909090909093,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,1001.0
201-52370,201.0,17000.0,83.57711442786069,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,52370.0
205-11626,205.0,15000.0,72.17073170731707,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,11626.0
205-12108,205.0,1.0,0.9951219512195122,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12108.0
205-12616,205.0,8000.0,38.02439024390244,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12616.0
615-06490,615.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6490.0
616-05688,616.0,110.0,0.8214285714285714,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,5688.0
616-06405,616.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6405.0
616-12248,616.0,8.0,0.987012987012987,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12248.0
621-01004,621.0,520.0,0.16264090177133655,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,1004.0
621-06559,621.0,3.0,0.9951690821256038,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6559.0
628-09403,628.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,9403.0
628-11976,628.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,11976.0
715-05125,715.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,5125.0
716-07634,716.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,7634.0
725-12511,725.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12511.0
801-04308,801.0,280.0,0.6504369538077404,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,4308.0
801-06625,801.0,140.0,0.8252184769038702,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6625.0
801-06640,801.0,210.0,0.7378277153558053,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6640.0
801-06775,801.0,40000.0,48.93757802746567,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6775.0
801-07118,801.0,16.0,0.9800249687890137,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,7118.0
801-07119,801.0,16.0,0.9800249687890137,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,7119.0
105-06845,105.0,13000.0,122.80952380952381,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6845.0
109-08359,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8359.0
109-08360,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8360.0
109-08443,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8443.0
109-08444,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,8444.0
109-11362,109.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,11362.0
110-01001,110.0,32000.0,289.90909090909093,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,1001.0
201-52370,201.0,17000.0,83.57711442786069,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,52370.0
205-11626,205.0,15000.0,72.17073170731707,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,11626.0
205-12108,205.0,1.0,0.9951219512195122,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12108.0
205-12616,205.0,8000.0,38.02439024390244,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12616.0
615-06490,615.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6490.0
616-05688,616.0,110.0,0.8214285714285714,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,5688.0
616-06405,616.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,6405.0
616-12248,616.0,8.0,0.987012987012987,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,12248.0
621-01004,621.0,520.0,0.16264090177133655,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,1004.0
621-06559,621.0,3.0,0.9951690821256038,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,6559.0
628-09403,628.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,9403.0
628-11976,628.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,11976.0
715-05125,715.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,5125.0
716-07634,716.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,7634.0
725-12511,725.0,,,,Bid-Tabs-7.9.25_revised9.2,,,0.0,12511.0
801-04308,801.0,280.0,0.6504369538077404,False,Bid-Tabs-7.9.25_revised9.2,,,0.0,4308.0
